title,company,location,url,date,deadline,department,description,requirements,position_type
סגן מנהל מחלקה (גנרי),חולון,חולון,https://namerz.moin.gov.il/showexternal/55436/1,2026-06-17,2026-07-01,ניהול כללי,"רשות: חולון · מחוז: תל-אביב · יחידה: ניהול כללי · תחום: ניהול כללי · רמת השכלה: בגרות, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-17 · מועד הגשה: 2026-07-01 · מספר מכרז: 370/2026",בגרות; קורסים נוספים כמפורט בקובץ,
עובד יחידת משאבי אנוש,חולון,חולון,https://namerz.moin.gov.il/showexternal/55437/1,2026-06-17,2026-07-01,משאבי אנוש,"רשות: חולון · מחוז: תל-אביב · יחידה: משאבי אנוש · תחום: משאבי אנוש · רמת השכלה: בגרות, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-17 · מועד הגשה: 2026-07-01 · מספר מכרז: 376/2026",בגרות; קורסים נוספים כמפורט בקובץ,
מדריך ביחידה לטיפול בדריי רחוב במינהל שירותים חברתיים,פתח תקווה,פתח תקווה,https://namerz.moin.gov.il/showexternal/55455/1,2026-06-18,2026-07-01,רווחה,מדריך ביחידה לטיפול בדריי רחוב במינהל שירותים חברתיים,אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
מרכז נושא עבודה קהילתית,עכו,עכו,https://namerz.moin.gov.il/showexternal/55476/2,2026-06-19,2026-07-01,רווחה,"רשות: עכו · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: המח""ר/ הסכם עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-19 · מועד הגשה: 2026-07-01 · מספר מכרז: 48/2026",אקדמאית / חילופית בהתאם לחוק,
תובע הועדה המקומית לתכנון ובניה,עכו,עכו,https://namerz.moin.gov.il/showexternal/55477/2,2026-06-19,2026-07-01,משפטי,רשות: עכו · מחוז: צפון · יחידה: משפטי · תחום: משפטי · דירוג: חוזה 987 · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-19 · מועד הגשה: 2026-07-01 · מספר מכרז: 45/2026,אקדמאית / חילופית בהתאם לחוק,
תיאור תפקד:,גדרה,גדרה,https://namerz.moin.gov.il/showexternal/55758/2,2026-06-25,2026-07-01,רווחה,"תיאור תפקד: 1. אחריות על תהליך הלווי הפרטני בתחום התעסוקה של מקבלי השירות במרכז עוצמה, החל מקבלתם לתכנית הלווי התעסוקתית ועד סיומה ,כולל : אינטייק ואבחון תעסוקתי, בניית תכנית התערבות תעסוקתית ,לווי בישומה לצורך השתלבות בעבודה ,קידום תעסוקתי או פתיחת עסק עצמאי. 2. פיתוח מענים קבוצתיים, קהילתיים ומערכתיים בתחום התעסוקה כולל: א. מיפוי צריכים . ב. ייזום ופיתוח מענים כולל תכניות ופרויקטים מקדמי ותומכי תעסוקה. ג. יצירת קשרים, שיתופי פעולה ותיאום הפעילות עם מסגרות ,מוסדות וארגונים שונים בתחום התעסוקה -ובכלל זה גם ארגונים המקדמים השכלה והכשרה מקצועית כגון שרות תעסוקה, ארגוני מגזר שלישי ועוד. ד. יזום או השתתפות בשולחן תעסוקה רשותי. 3. ייעוץ והעלאת מודעות לתחום התעסוקה לצוות המרכז , בקרב צוותי תכניות המערך ברשות ובקרב הצוות במחלקה לשירותים חברתיים , לרבות ייזום ופיתוח השתלמויות תוך -מחלקתיות. 4. חבר בצוות מרכז עוצמה ושותף פעיל במשימות הצוותיות.",אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
בדיקת תכניות בהיבטים סביבתיים במסגרת הוועדות תכנון ובנייה של היחידה הסביבתית,רעננה,רעננה,https://namerz.moin.gov.il/showexternal/55406/1,2026-06-14,2026-07-01,הגנת הסביבה,בדיקת תכניות בהיבטים סביבתיים במסגרת הוועדות תכנון ובנייה של היחידה הסביבתית.,אקדמאית / חילופית בהתאם לחוק,
רכז חינוך חברתי רשותי,רעננה,רעננה,https://namerz.moin.gov.il/showexternal/55454/1,2026-06-18,2026-07-01,נוער תרבות וספורט,"רשות: רעננה · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-01 · מספר מכרז: 085/2026",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
מהנדס הרשות,מסעדה,מסעדה,https://namerz.moin.gov.il/showexternal/55285/3,2026-06-15,2026-07-01,הנדסה,רשות: מסעדה · מחוז: צפון · יחידה: הנדסה · תחום: הנדסה · דירוג: חוזה בכירים · רמת השכלה: אדריכל / מהנדס · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-07-01 · מספר מכרז: 09/2026,אדריכל / מהנדס,
פסיכולוג חינוכי,מנשה,מנשה,https://namerz.moin.gov.il/showexternal/55714/1,2026-06-23,2026-07-01,חינוך,רשות: מנשה · מחוז: חיפה · יחידה: חינוך · תחום: חינוך · דירוג: פסיכולוגים- הסכם קיבוצי · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-23 · מועד הגשה: 2026-07-01 · מספר מכרז: 28-2026,אקדמאית / חילופית בהתאם לחוק,
מרכז נושא ועדת החלטה,קצרין,קצרין,https://namerz.moin.gov.il/showexternal/53446/7,2026-04-30,2026-07-02,רווחה,"רשות: קצרין · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-04-30 · מועד הגשה: 2026-07-02 · מספר מכרז: 38/2026",אקדמאית / חילופית בהתאם לחוק,
עובד סוציאלי,קצרין,קצרין,https://namerz.moin.gov.il/showexternal/53451/7,2026-04-30,2026-07-02,רווחה,"רשות: קצרין · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-04-30 · מועד הגשה: 2026-07-02 · מספר מכרז: 41/2026",אקדמאית / חילופית בהתאם לחוק,
"עו""ס קהילה",קצרין,קצרין,https://namerz.moin.gov.il/showexternal/53453/7,2026-04-30,2026-07-02,רווחה,"רשות: קצרין · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-04-30 · מועד הגשה: 2026-07-02 · מספר מכרז: 43/2026",אקדמאית / חילופית בהתאם לחוק,
עובד סוציאלי מרחבי,גולן,גולן,https://namerz.moin.gov.il/showexternal/54935/3,2026-06-11,2026-07-02,רווחה,"רשות: גולן · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-11 · מועד הגשה: 2026-07-02 · מספר מכרז: 25.2026",אקדמאית / חילופית בהתאם לחוק,
מדריך מוגנות לתלמידים ונוער במצבי סיכון,ברנר,ברנר,https://namerz.moin.gov.il/showexternal/55144/1,2026-06-11,2026-07-02,נוער תרבות וספורט,רשות: ברנר · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: חינוך ונוער · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-11 · מועד הגשה: 2026-07-02 · מספר מכרז: 9.26,12 שנות לימוד,
"פסיכולוג ראשי, אחראי מקצועי עבור כל תחום התמחות בשפ""ח אינטרדיסציפלינרי",שדרות,שדרות,https://namerz.moin.gov.il/showexternal/55347/2,2026-06-17,2026-07-02,חינוך,"פסיכולוג ראשי, אחראי מקצועי עבור כל תחום התמחות בשפ""ח אינטרדיסציפלינרי",אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
"מערך גני הילדים הוא הלב הפועם של הרשות, ותומכות החינוך הן העוגן המרכזי שלו",גוש עציון,גוש עציון,https://namerz.moin.gov.il/showexternal/55431/2,2026-06-18,2026-07-02,משאבי אנוש,"מערך גני הילדים הוא הלב הפועם של הרשות, ותומכות החינוך הן העוגן המרכזי שלו. אם עולם משאבי האנוש בדם שלך, אם ניהול תהליכים דינמיים ומורכבים מרגש אותך. אם יש לך את היכולת לשלב בין ראייה אסטרטגית, כושר מנהיגות, יכולות לוגיסטיות גבוהות וחוסן אישי – מקומך איתנו! אנו מחפשים מנהל/ת שיודע/ת להוביל צוות רכזות, לשמירה על קשר רציף עם תומכות החינוך, לייצר שותפויות אסטרטגיות עם המחלקה לגיל הרך, לתכלל את כלל מערך ההון האנושי והתפעול השוטף ברגישות, בנחישות ובזמינות גבוהה.",12 שנות לימוד; אקדמאית / חילופית בהתאם לחוק; בגרות,
אב בית איש תחזוקה בבית הספר,חריש,חריש,https://namerz.moin.gov.il/showexternal/55438/1,2026-06-18,2026-07-02,חינוך,רשות: חריש · מחוז: חיפה · יחידה: חינוך · תחום: חינוך · דירוג: מנהלי 5-7 · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 54/26,12 שנות לימוד,
מנהל יחידת החינוך העל יסודי,חריש,חריש,https://namerz.moin.gov.il/showexternal/55439/1,2026-06-18,2026-07-02,חינוך,"רשות: חריש · מחוז: חיפה · יחידה: חינוך · תחום: חינוך · דירוג: מח""ר 39-41 · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 48/26",אקדמאית / חילופית בהתאם לחוק,
מנהל לשכת סגן ראש רשות בשכר,תל אביב-יפו,תל אביב-יפו,https://namerz.moin.gov.il/showexternal/55446/2,2026-06-18,2026-07-02,לשכות נבחרים,"רשות: תל אביב-יפו · מחוז: תל-אביב · יחידה: לשכות · תחום: לשכות נבחרים · דירוג: מח""ר / מינהלי · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, בגרות · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 445/2026",אקדמאית / חילופית בהתאם לחוק; בגרות,
מנהל אולם/היכל תרבות,תל אביב-יפו,תל אביב-יפו,https://namerz.moin.gov.il/showexternal/55449/1,2026-06-18,2026-07-02,נוער תרבות וספורט,"רשות: תל אביב-יפו · מחוז: תל-אביב · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: מח""ר / עו""ה חינוך משלים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 448/2026",אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת נוער,תל אביב-יפו,תל אביב-יפו,https://namerz.moin.gov.il/showexternal/55450/1,2026-06-18,2026-07-02,נוער תרבות וספורט,"רשות: תל אביב-יפו · מחוז: תל-אביב · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: מח""ר / עו""ה חינוך משלים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 449/2026",אקדמאית / חילופית בהתאם לחוק,
מנהל בית ספר תיכון,תל אביב-יפו,תל אביב-יפו,https://namerz.moin.gov.il/showexternal/55451/1,2026-06-18,2026-07-02,חינוך,רשות: תל אביב-יפו · מחוז: תל-אביב · יחידה: חינוך · תחום: חינוך · דירוג: עובדי הוראה · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 450/2026,אקדמאית / חילופית בהתאם לחוק,
עובד נוער וצעירים במצוקה,מטה אשר,מטה אשר,https://namerz.moin.gov.il/showexternal/55452/1,2026-06-18,2026-07-02,רווחה,רשות: מטה אשר · מחוז: צפון · יחידה: רווחה · תחום: רווחה · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 17/2026,אקדמאית / חילופית בהתאם לחוק,
סגן מנהל מחלקה (גנרי),אשדוד,אשדוד,https://namerz.moin.gov.il/showexternal/55468/1,2026-06-18,2026-07-02,ניהול כללי,רשות: אשדוד · מחוז: דרום · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: אקדמאים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 174-26,אקדמאית / חילופית בהתאם לחוק,
תומך עובד סוציאלי,אשדוד,אשדוד,https://namerz.moin.gov.il/showexternal/55469/1,2026-06-18,2026-07-02,רווחה,רשות: אשדוד · מחוז: דרום · יחידה: רווחה · תחום: רווחה · דירוג: מינהלי · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 176-26,12 שנות לימוד,
עובד סוציאלי,קצרין,קצרין,https://namerz.moin.gov.il/showexternal/55479/1,2026-06-18,2026-07-02,רווחה,"רשות: קצרין · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 69/2026",אקדמאית / חילופית בהתאם לחוק,
עובד סוציאלי,קצרין,קצרין,https://namerz.moin.gov.il/showexternal/55480/1,2026-06-18,2026-07-02,רווחה,"רשות: קצרין · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 68/2026",אקדמאית / חילופית בהתאם לחוק,
עובד סוציאלי,קצרין,קצרין,https://namerz.moin.gov.il/showexternal/55481/1,2026-06-18,2026-07-02,רווחה,"רשות: קצרין · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 70/2026",אקדמאית / חילופית בהתאם לחוק,
מדריכ/ה במועדונית,קצרין,קצרין,https://namerz.moin.gov.il/showexternal/55483/1,2026-06-18,2026-07-02,חינוך,"מדריכ/ה במועדונית אחראי/ת לפעילות השוטפת ולניהול סדר היום של המועדונית, עבודה עם ילדים בקבוצה רב גילאית, תפעול מועדונית בהתאם לסטנדרטים ולתוכניות הפעולה של הרשות. בנוסף, אחראי/ת על הקשר ,ההכוונה ותיאום העבודה בין המועדונית ברשות לבין גורמי הרווחה והחינוך.",אקדמאית / חילופית בהתאם לחוק,
תומכת חינוך בגן/כיתה לחינוך מיוחד,קצרין,קצרין,https://namerz.moin.gov.il/showexternal/55484/1,2026-06-18,2026-07-02,חינוך,רשות: קצרין · מחוז: צפון · יחידה: חינוך · תחום: חינוך · דירוג: תומכות חינוך · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 67/2026,12 שנות לימוד,
מרכז תחום גיל הרך (פסיכולוג),לב השרון,לב השרון,https://namerz.moin.gov.il/showexternal/55496/1,2026-06-18,2026-07-02,חינוך,"דרוש/ה מרכז תחום גיל הרך (פסיכולוג) מכרז פנימי תיאור התפקיד: ריכוז מתן שירותים פסיכולוגיים חינוכיים מערכתיים ופרטניים לילדים בגילאי 3-6 הלומדים במסגרות עירוניות של החינוך המיוחד והחינוך הרגיל ביישוב. שירותים אלו כוללים מענים פסיכולוגיים חינוכיים לתלמידים עצמם, למשפחותיהם ולצוותים החינוכיים המלווים אותם. פירוט התפקיד: 1. קשר שוטף עם בעלי התפקידים בתחום ברשות ובמשרד החינוך 2. ייעוץ והכוונה לפסיכולוגים של השפ""ח המלווים את גני הטרם חובה והחובה ביישובי המועצה בדגש על תהליכי איתור והפניה של ילדים הזקוקים למענה מיוחד (התנהגותי, התפתחותי ועוד), ליווי תהליכי השארות ואקלים גן. 3. השתתפות בפורום ארצי של שפ""י בנושא הגיל הרך לצורך למידת עמיתים והתעדכנות בנושא נהלים והנחיות משרד החינוך. 4. בניית נהלי עבודה יישוביים בתחום הגיל הרך, כולל השתתפות בוועדות בנושאי בשלות והדלגה.",אקדמאית / חילופית בהתאם לחוק,
מכרז פנימי,לב השרון,לב השרון,https://namerz.moin.gov.il/showexternal/55497/1,2026-06-18,2026-07-02,חינוך,"מכרז פנימי דרוש/ה סגן/ית מנהלת שרות פסיכולוגי חינוכי ומרכז/ת תחום על יסודי (פסיכולוג) תיאור התפקיד סגן מנהל השפ""ח: הפסיכולוג מנהל את מערך הפסיכולוגים בשפ""ח, מ""מ מנהל השפ""ח: • מסייע בכלל התפקידים של מנהל השפ""ח, מוביל תהליך תכנון תוכנית עבודת הפסיכולוגים. • מבצע עבודה פסיכולוגית בתחומים מערכתיים , אבחונים, טיפולים והדרכות בהתאם לצרכי השפ""ח ולהנחיות מנהל השפ""ח והפסיכולוג המחוזי. תיאור תפקיד מרכז תחום העל יסודי: ריכוז מתן שירותים פסיכולוגיים חינוכיים מערכתיים ופרטניים לבני נוער בגילאי 12-18 בקריית החינוך העל יסודית. שירותים אלו כוללים מענים פסיכולוגיים חינוכיים לתלמידים עצמם, למשפחותיהם ולצוותים החינוכיים המלווים אותם. • קשר שוטף עם בעלי התפקידים בתחום גיל ההתבגרות במסגרת החינוך העל יסודית, בפיקוח וברשות. • יעוץ והכוונה לפסיכולוגים של השפ""ח המלווים את תלמידי העל יסודי והצוותים החינוכיים במסגרת זו, בדגש על עבודה מערכתית, איתור ילדים בסיכון ומצבי חירום. • בניית נהלי עבודה יישוביים בתחום גיל ההתבגרות, והשתתפות בגיבוש מתווה העבודה של השירות הפסיכולוגי במסגרת העל יסודי. • השתתפות בישיבות בין מקצועיות ויישוביות בנושא מתבגרים, לרבות מצבי סיכון ונוער בסיכון.",אקדמאית / חילופית בהתאם לחוק,
רכז/אחראי נושא דיגיטל,להבים,להבים,https://namerz.moin.gov.il/showexternal/55511/2,2026-06-22,2026-07-02,מחשוב ומערכות מידע,רכז/אחראי נושא דיגיטל,12 שנות לימוד,
רכז נוער רשותי,הוד השרון,הוד השרון,https://namerz.moin.gov.il/showexternal/55521/1,2026-06-18,2026-07-02,נוער תרבות וספורט,"רשות: הוד השרון · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: דירוג חינוך, נוער וקהילה - בהתאם לנתוני המועמד/ת · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 76/26",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
תחשיבן,הוד השרון,הוד השרון,https://namerz.moin.gov.il/showexternal/55522/1,2026-06-18,2026-07-02,רווחה,"רשות: הוד השרון · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: 7-10 מנהלי, 37-40 מח""ר · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 77/26",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
לבורנט בבית ספר,הוד השרון,הוד השרון,https://namerz.moin.gov.il/showexternal/55524/1,2026-06-18,2026-07-02,חינוך,"רשות: הוד השרון · מחוז: מרכז · יחידה: חינוך · תחום: חינוך · דירוג: 37-39 בדרוג לבורנטים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-18 · מועד הגשה: 2026-07-02 · מספר מכרז: 78/26",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
המוקד הביטחוני של מועצה אזורית חבל אילות נפתח באופן רשמי! אנו מאתרים מוקדנים/ות למשימה…,חבל אילות,חבל אילות,https://namerz.moin.gov.il/showexternal/55602/1,2026-06-18,2026-07-02,חירום ובטחון,"המוקד הביטחוני של מועצה אזורית חבל אילות נפתח באופן רשמי! אנו מאתרים מוקדנים/ות למשימה החשובה ביותר במרחב: הגנה על הקהילה, על הגבולות ועל הביטחון של כולנו. תיאור התפקיד: המוקד הינו מוקד אחוד – מוניציפאלי, צבאי ומוקד חירום המהווה כתובת לפניות ולמתן מידע ביטחוני, רלוונטי לבעלי תפקיד וגיבוש תמונת מצב עדכנית לצורך קבלת החלטות בזמן אמת. המוקד הינו ""מוקד רואה"", במסגרת זו המוקד צופה במגוון רחב של מערכי טכנולוגיות ומצלמות הממוקמות ברחבי המועצה והמרחב הכללי, מתעד בזמן אמת אירועים ומפנה את הגורמים הרלוונטיים לאזור האירוע. כמו כן מהווה המוקד מענה לאירועי חירום ומתכלל אותם במסגרת תפקידו. עיקרי התפקיד 1. צפיה במצלמות, זיהוי אירועים חריגים ואירועי חירום. 2. הפעלת מערכות המוקד האחוד 24/7 בשגרה ובחירום ע""פ הנהלים החלים בכל מצב. 3. מתן מענה טלפוני וממוחשב, מתן מידע ו/או העברת הפנייה לגורמים המטפלים. 4. רישום ותיעוד הפניות ומעקב בהתאם לנהלים. 5. בקרה וניהול המערכות התפעוליות ודיווח בהתאם לנוהל. 6. תכלול אירועי חירום, קיום קשר עם גורמי ביטחון וחירום במרחב- רכזי בטחון, משטרה, צבא. 7. עבודה בכפיפות לנהלים וביקורת.",12 שנות לימוד,
המוקד הביטחוני של מועצה אזורית חבל אילות נפתח באופן רשמי! אנו מאתרים מוקדנים/ות למשימה…,חבל אילות,חבל אילות,https://namerz.moin.gov.il/showexternal/55603/1,2026-06-18,2026-07-02,חירום ובטחון,"המוקד הביטחוני של מועצה אזורית חבל אילות נפתח באופן רשמי! אנו מאתרים מוקדנים/ות למשימה החשובה ביותר במרחב: הגנה על הקהילה, על הגבולות ועל הביטחון של כולנו. תיאור התפקיד: המוקד הינו מוקד אחוד – מוניציפאלי, צבאי ומוקד חירום המהווה כתובת לפניות ולמתן מידע ביטחוני, רלוונטי לבעלי תפקיד וגיבוש תמונת מצב עדכנית לצורך קבלת החלטות בזמן אמת. המוקד הינו ""מוקד רואה"", במסגרת זו המוקד צופה במגוון רחב של מערכי טכנולוגיות ומצלמות הממוקמות ברחבי המועצה והמרחב הכללי, מתעד בזמן אמת אירועים ומפנה את הגורמים הרלוונטיים לאזור האירוע. כמו כן מהווה המוקד מענה לאירועי חירום ומתכלל אותם במסגרת תפקידו. עיקרי התפקיד 1. צפיה במצלמות, זיהוי אירועים חריגים ואירועי חירום. 2. הפעלת מערכות המוקד האחוד 24/7 בשגרה ובחירום ע""פ הנהלים החלים בכל מצב. 3. מתן מענה טלפוני וממוחשב, מתן מידע ו/או העברת הפנייה לגורמים המטפלים. 4. רישום ותיעוד הפניות ומעקב בהתאם לנהלים. 5. בקרה וניהול המערכות התפעוליות ודיווח בהתאם לנוהל. 6. תכלול אירועי חירום, קיום קשר עם גורמי ביטחון וחירום במרחב- רכזי בטחון, משטרה, צבא. 7. עבודה בכפיפות לנהלים וביקורת.",12 שנות לימוד,
תומכת חינוך בגן/כיתה לחינוך מיוחד,גולן,גולן,https://namerz.moin.gov.il/showexternal/55764/2,2026-06-25,2026-07-02,חינוך,רשות: גולן · מחוז: צפון · יחידה: חינוך · תחום: חינוך · דירוג: תומכות חינוך · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-02 · מספר מכרז: 27.2026,12 שנות לימוד,
