id,title,company,city,url,date_posted,source,work_type,sector,level,raw_text
04463d944a56,רכז/ת מלגות ומנהל תלמידים,מרכז ללימודים קדם-אקדמיים - אוניברסיטת בן-גוריון,באר שבע,//bguhr.my.salesforce-sites.com/Gius?mode=jobs,2026-05-17,Telegram: מציאת עבודה,משרה מלאה,חינוך,ביניים,"📢 למרכז ללימודים קדם-אקדמיים דרוש/ה רכז/ת מלגות ומנהל תלמידים!   🔍 מה כולל התפקיד? ריכוז וטיפול במערך המלגות מקצה לקצה, כולל בדיקת זכאות, עבודה מול קרנות והשתתפות בוועדות. התפקיד משלב ניהול התחשבנות מול משרד הביטחון, בקרה תקציבית שוטפת, ומתן מענה אישי לסטודנטים ומועמדים בתהליכי רישום ומנהל. בנוסף, ה"
da7ea8aaeaa5,איש/ת גיוס כספים,תנועת אחד,,https://t.me/biltiformali/33516,2026-05-17,Telegram: מציאת עבודה,משרה חלקית,עמותות,ביניים,"*איש/ת גיוס כספים – תנועת אחד*  תנועת אחד מתרחבת וזה בדיוק הזמן להצטרף לעשייה עם משמעות אמיתית 🤩  אם יש לך ניסיון בגיוס כספים, את.ה יודע.ת לבנות ולהוביל אסטרטגיית גיוס, ויש בך חיבור אמיתי לערכים של אחדות ולעשייה חברתית אנחנו מחפשים בדיוק אותך!  *הזדמנות לשלב בין מקצועיות לבין עשייה חברתית עמוקה*  מש"
ae3edfb225ac,מנהל/ת תחום משאבי אנוש (משרה זמנית),"הרלב""ד",,ps://www.gov.il/he/pages/2604_hr,2026-05-17,Telegram: מציאת עבודה,,ממשלתי,ניהולי,"הרלב""ד מחפשת מנהל/ת תחום משאבי אנוש (למשרה זמנית) סביבת עבודה נעימה ותנאי העסקה מעולים! 🤩 אם את/ה בתחילת דרכך בתחום, המשרה הזאת בשבילך 👇🏻  לפרטים נוספים והגשת מועמדות  https://www.gov.il/he/pages/2604_hr"
0251f428f2ff,מנהל/ת מרכז לעכו,מרכזים לצדק חברתי,עכו,ps://wkf.ms/3OfXwzU,2026-05-17,Telegram: מציאת עבודה,משרה מלאה,עמותות,ניהולי,"🌿 מחפשים מנהל/ת מרכז לעכו 🌿  רוצה לעבוד בעבודה עם משמעות אמיתית, להוביל קהילה מקומית ולייצר שינוי חברתי בשטח?  מרכזים לצדק חברתי מגייסים מנהל/ת מרכז לעכו- תפקיד משמעותי שמחבר בין הנהגה קהילתית, עבודה עם פעילים ופעילות, הובלת יוזמות וקמפיינים, ובניית שותפויות בעיר.  משרה מלאה, שעות גמישות  🌻מתאים במי"
7cba2f607477,תפקיד ניהולי במרכז גוונים,מרכז גוונים,רמת גן,tps://career.gvanim.org.il/career/jobs/240,2026-05-17,Telegram: מציאת עבודה,,עמותות,ניהולי,הצטרף.י לצוות הניהול של מרכז גוונים ב רמת גן - לתפקיד משמעותי שמשנה מציאות חברתית 💙  פרטים נוספים והגשת מועמדות בלינק👇 https://career.gvanim.org.il/career/jobs/240
815c0749fc6c,מנהל/ת תחום הערכת תוכניות בראמ״ה,הרשות הארצית למדידה והערכה בחינוך (ראמ״ה),גבעתיים (עתיד לעבור לירושלים ב-2026),https://rama.edu.gov.il/opportunity/program-evaluation-lead,2026-05-17,Telegram: מציאת עבודה,משרה מלאה,ממשלתי,ניהולי,"דרוש/ה מנהל/ת תחום הערכת תוכניות בראמ״ה  ✅ מכרז פומבי ✅רמות שכר: כ-20-25K (בכפוף לאישור מומחיות של הנציבות) ✅ נדרש תואר שני עם תזה ✅ המשרדים בגבעתיים אך צפויים לעבור לירושלים בסוף 2026  אנו מחפשים אחר חוקר/ת הערכה שמכיר את העולם החינוכי, יודע להגדיר תוצאות ובעיקר יודע לבחון האם הושגו דרך מחקר.  התפק"
37e54a34c21e,רכז/ת אדמיניסטרטיבית לפרויקט מיוחד וארוך טווח,אוניברסיטת בן-גוריון - פקולטה למדעי ההנדסה,באר שבע,/bguhr.my.salesforce-sites.com/Gius?mode=jobs,2026-05-15,Telegram: מציאת עבודה,משרה מלאה,חינוך,ביניים,"📢 לפקולטה למדעי ההנדסה דרוש/ה רכז/ת אדמיניסטרטיבית לפרויקט מיוחד וארוך טווח!   🔍 מה כולל התפקיד? אחריות על מעטפת האדמיניסטרציה והתפעול של הפרויקט, כולל ריכוז משימות ניהוליות וארגוניות ומתן שירות שוטף לסטודנטים, סגל ומבקרים. התפקיד משלב עבודה מול מערכות מחשוב אוניברסיטאיות, סיוע בארגון אירועים וועדות"
a9bf003d5efe,משרות ביחידת הגיל הרך במכון ברנקו וייס,מכון ברנקו וייס,דרום,https://minisite.niloos.ai/vacancy/6a061018916472853e081079,2026-05-14,Telegram: מציאת עבודה,,חינוך,ביניים,"הצטרפו אלינו!  יחידת הגיל הרך במכון ברנקו וייס מתרחבת בדרום לקראת תשפ""ז (ספטמבר 2026).   אנחנו מחפשים אנשי ונשות מקצוע שרוצים להשפיע באמת ולקבל מעטפת מקצועית רצינית.  לפרטים נוספים והגשת מועמדות בקישור:  https://minisite.niloos.ai/vacancy/6a061018916472853e081079"
6e596ba81f13,אנשי ונשות מקצוע ליחידת הגיל הרך,מכון ברנקו וייס,דרום,https://minisite.niloos.ai/vacancy/6a0609da916472853e081061,2026-05-14,Telegram: מציאת עבודה,,חינוך,,"הצטרפו אלינו!  יחידת הגיל הרך במכון ברנקו וייס מתרחבת בדרום לקראת תשפ""ז (ספטמבר 2026).   אנחנו מחפשים אנשי ונשות מקצוע שרוצים להשפיע באמת ולקבל מעטפת מקצועית רצינית.  לפרטים נוספים והגשת מועמדות בקישור:  [https://minisite.niloos.ai/vacancy/6a0609da916472853e081061](https://minisite.niloos.ai/vacancy"
2e633658bce9,מנהל/ת למרכז תעסוקה בכפר הירוק,,כפר הירוק,https://t.me/biltiformali/33481,2026-05-14,Telegram: מציאת עבודה,,רווחה,ניהולי,"דרוש/ה מנהל/ת למרכז תעסוקה בכפר הירוק 💚 תפקיד משמעותי עם אנשים מיוחדים, צוות מקצועי ואחריות ניהולית. אם יש לך ניסיון ונשמה – זה בשבילך! שליחת קו״ח לוואצאפ: 052-822-8395"
6c96da0336e8,רכז/ת מועדון מופת וקהילה בקשר,עמותת מרחבים לוותיקי משגב,משגב,https://www.merchavim-misgav.org.il/bids/?id=13,2026-05-14,Telegram: מציאת עבודה,,עמותות,ביניים,מחפש/ת תפקיד מאתגר וממלא? רכז/ת מועדון מופת וקהילה בקשר בעמותת מרחבים לוותיקי משגב היא המשרה עבורך. כל הפרטים במכרז באתר מרחבים:  https://www.merchavim-misgav.org.il/bids/?id=13
3d28a7d0c4ce,רכז.ת מקצועי.ת לרמת החייל,מרכז יום סיעודי,תל אביב,office-center@shekel.org.il,2026-05-14,Telegram: מציאת עבודה,משרה מלאה,עמותות,ביניים,"דרוש.ה רכז.ת מקצועי.ת לרמת החייל בתל אביב! 💜  מרכז יום סיעודי לאנשים עם מוגבלויות מחפשים רכז.ת מקצועי.ת עם רצון לעשות שינוי אמיתי!  תיאור התפקיד:  ✅ הדרכה וליווי צוות  ✅ אחריות על הקשר עם משפחות וגורמי חוץ  ✅ בניית תכניות קידום ומעקב  דרישות:  תואר ראשון בתחומים רלוונטיים (חינוך מיוחד, פסיכולוגיה, מ"
78e66984958d,מנהל.ת יחידת נוער,המועצה האזורית חבל יבנה,חבל יבנה,https://www.hevel-yavne.org.il/wanted/186/,2026-05-14,Telegram: מציאת עבודה,,ממשלתי,ניהולי,המועצה האזורית חבל יבנה מחפשת מנהל.ת יחידת נוער פרטים נוספים על התפקיד בקישור: https://www.hevel-yavne.org.il/wanted/186/  קורות חיים למייל: shirleyz@matnasim.org.il
01c91b541223,מנהל/ת פעילות קהילתית,פנאי העיר חדרה,חדרה,https://www.pnay.org.il/page.php?type=required&id=1112&ht=%D7%9E%D7%9B%D7%A8%D7%96%20%D7%A4%D7%A0%D7%99%D7%9E%D7%99/%D7%97%D7%99%D7%A6%D7%95%D7%A0%D7%99%20%D7%9E%D7%A1%27%2015/26%20%D7%9C%D7%A4%D7%A0%D7%90%D7%99%20%D7%94%D7%A2%D7%99%D7%A8%20%D7%97%D7%93%D7%A8%D7%94%20%D7%93%D7%A8%D7%95%D7%A9/%D7%94%20%D7%9E%D7%A0%D7%94%D7%9C/%D7%AA%20%D7%A4%D7%A2%D7%99%D7%9C%D7%95%D7%AA%20%D7%A7%D7%94%D7%99%D7%9C%D7%AA%D7%99%D7%AA,2026-05-14,Telegram: מציאת עבודה,,ממשלתי,ניהולי,משרה שווה בהחלט! לפרטי המכרז המלאים והגשת מועמדות:   https://www.pnay.org.il/page.php?type=required&id=1112&ht=%D7%9E%D7%9B%D7%A8%D7%96%20%D7%A4%D7%A0%D7%99%D7%9E%D7%99/%D7%97%D7%99%D7%A6%D7%95%D7%A0%D7%99%20%D7%9E%D7%A1%27%2015/26%20%D7%9C%D7%A4%D7%A0%D7%90%D7%99%20%D7%94%D7%A2%D7%99%D7%A8%20%D7%97
a198e1eda775,מנהל/ת קשרי קהילה ושיתופי פעולה,עמותת 'צלול',,https://t.me/biltiformali/33469,2026-05-14,Telegram: מציאת עבודה,משרה מלאה,עמותות,ניהולי,"לעמותת 'צלול' דרוש/ה מנהל/ת קשרי קהילה ושיתופי פעולה  עמותת 'צלול' מחפשת מנהל/ת קשרי קהילה ושיתופי פעולה להובלת מהלכים משותפים עם רשויות מקומיות, ארגונים, קהילות מתנדבים, מגזר עסקי ועוד.  תיאור התפקיד: * הובלה וניהול שת""פים עם גורמים מגוונים. * הובלת מהלכים ציבוריים ועבודה שוטפת מול קהילות מתנדבים. "
35cfe50177e5,מנהל/ת תפעול ופיתוח קהילה,קהילת אור,,https://www.kehilat-or.org.il/,2026-05-14,Telegram: מציאת עבודה,משרה חלקית,עמותות,ניהולי,"קהילת אור מתרחבת: דרוש/ה מנהל/ת תפעול ופיתוח קהילה קהילת אור (חל""צ) נמצאת בתהליך התרחבות משמעותי. ניתן לראות זאת בעשייה הענפה בשבועיים האחרונים, שכללה: הרצאות במרכז הרפואי סורוקה, בבית החולים איכילוב ובקריה האקדמית אונו, לצד פעילויות קהילתיות שוטפות בשטח. כדי לתמוך בצמיחה הזו, אנו מחפשים איש/ת מקצוע"
ab97f4447de4,רכז/ת קהילה,מינהל קהילתי גנים,במשואה,://minisite.niloos.ai/vacancy/69afe5be3162825a0c5ad5ea,2026-05-14,Telegram: מציאת עבודה,משרה חלקית,עמותות,ביניים,אנחנו מגייסים לצוות של מינהל קהילתי גנים 🥁🥁 רכז/ת קהילה ב- 50% משרה לבית במשואה 💙💙💙 קוד משרה: JB-31 להגשת קורות חיים נא למלא את הלינק: https://minisite.niloos.ai/vacancy/69afe5be3162825a0c5ad5ea
4717b2b5f26f,רכז/ת קהילה,המכינה הירושלמית,ירושלים,https://t.me/biltiformali/33465,2026-05-14,Telegram: מציאת עבודה,משרה חלקית,חינוך,ביניים,"🤝 חיים ונושמים קהילה? אוהבים את ירושלים? מצאנו לכם.ן את התפקיד הבא!  המכינה הירושלמית (מכינה קד""צ למנהיגות קהילתית-ליברלית) מחפשת רכז.ת קהילה עם אש בעיניים ולב ענק, להובלת עשייה חברתית משמעותית בשכונות העיר!  מה תעשו אצלנו?  תובילו את תחום העשייה הקהילתית של המכינאים שלנו, תיצרו חיבורים משמעותיים עם"
66e3013722b6,ראש/ת צוות חינוכי במכינה,,,mmechina@tenejlm.co.il,2026-05-14,Telegram: מציאת עבודה,משרה חלקית,חינוך,ניהולי,"אם אתם.ן מאמינים.ות שחינוך משנה מציאות, שאפשר להחזיק גם תכנית שנתית מורכבת וגם קשר אישי עם צעירים וצעירות, ושעבודה חינוכית טובה מתחילה בערכים - ייתכן שהתפקיד הבא שלכם.ן נמצא כאן.  מה תעשו אצלנו?  - תובילו את התכנית החינוכית של המכינה, משלב התכנון ועד הביצוע.  - תכוונו ותלוו מדריכים, מנהלי שלוחות וצו"
feab4546acc4,מדריכ.ה - ראש צוות משפחות,מועצה אזורית דרום השרון,דרום השרון,"://www.dsharon.org.il/bids/457/

נשמ",2026-05-14,Telegram: מציאת עבודה,משרה מלאה,ממשלתי,ניהולי,*דרוש.ה מדריכ.ה - ראש צוות משפחות במועצה אזורית דרום השרון!* 📢  האגף לשירותים חברתיים מתרחב ומחפש אותך להובלת צוות ופיתוח מדיניות.  מה התפקיד כולל? 📍 ניהול מקצועי והדרכת עובדים סוציאליים. 📍 שותפות בצוות הבכיר של האגף וקביעת מדיניות. 📍 ייצוג הצוות מול ממשקים ופיתוח שירותים בקהילה.  דרישות סף: ✅ תואר 
0c0a4be7faca,מנהל/ת אזור - מרכז,עמותת חמניות - המקום לילדים שאיבדו הורה,מרכז,https://wkf.ms/4txgK2p,2026-05-14,Telegram: מציאת עבודה,,עמותות,ניהולי,"עמותת חמניות - המקום לילדים שאיבדו הורה, מחפשת ""מנהל/ת אזור - מרכז""  אם אתם מחפשים 'עבודה', זה כנראה לא המקום בשבילכם.  אבל אם אתם מחפשים שליחות, מקום שבו כל פגישה או שיחה שאתם מקיימים משנים את מסלול חיים של ילדי העמותה – הגעתם למקום הנכון.  אנחנו מזמינים אתכם לאתגר מקצועי מהסוג שגורם לכם לקום בבוקר"
dd9780320ab2,מנהל.ת מחוז הצפון | אגף התעסוקה והפנאי,אקים ישראל,הצפון,ps://tinyurl.com/2m74zpvv,2026-05-14,Telegram: מציאת עבודה,משרה מלאה,עמותות,בכיר,🌟 *אקים ישראל – מנהל.ת מחוז הצפון | אגף התעסוקה והפנאי* תפקיד בכיר ומשמעותי: ניהול כ-350 עובדים על פני שלושה אשכולות בצפון – מעפולה ועד כרמיאל. רקע בעולם המוגבלות – חובה.  *📍 מה כולל התפקיד?* ניהול ישיר של מנהלי האשכולות ומסגרות התעסוקה והפנאי ● פיתוח פרויקטים ומסגרות חדשות ● ניהול תקציב ותוכניות עב
44c793515801,מנהל/ת יחידת צעירים ואירועים ברשות המקומית,מועצה גבעת זאב,גבעת זאב,hrjobs@givat-zeev.muni.il,2026-05-14,Telegram: מציאת עבודה,משרה מלאה,ממשלתי,ניהולי,"מכרז חיצוני \ פנימי *מנהל\ת יחידת צעירים ואירועים ברשות המקומית*  מיקום המשרה: מועצה גבעת זאב סוג משרה : משרה מלאה ועבודה ציבורית\ממשלתית דרוש\ה מנהל\ת יחידת צעירים ברשות המקומית. היקף משרה 100%  תואר התפקיד: סיוע בגיבוש ועיצוב של המדיניות בתחום הצעירים ברשות, בהתאם למדיניות העירונית ובהלימה עם מדינ"
e9c1ede58430,מנהל.ת פרויקטים למשפחות צעירות,רשות צעירים בעיריית ירושלים,ירושלים,mailto:moria_bi@jerusalem.muni.il,2026-05-14,Telegram: מציאת עבודה,משרה מלאה,ממשלתי,ניהולי,"מנהל.ת פרויקטים למשפחות צעירות | רשות צעירים בעיריית ירושלים > הובלת פרויקטים ואירועים קהילתיים למשפחות צעירות בקרית היובל. נדרש ניסיון בניהול פרויקטים וחיבור לעולם הקהילה והיזמות. לשליחת קו""ח – moria_bi@jerusalem.muni.il."
9197e5c55024,מרכז/ת שבט,תנועת נוער גדולה,,cvedu@hamatzmed.co.il,2026-05-14,Telegram: מציאת עבודה,משרה מלאה,חינוך,ניהולי,"🚩 *השורה הניהולית הראשונה בקורות החיים שלך מתחילה כאן!*  לתנועת נוער גדולה דרושים/ות מרכזי/ות שבט בכל הארץ 🌍 תפקיד משמעותי הכולל הובלה חינוכית, ניהול צוותי מדריכים, הפקת פרויקטים ופעילות שטח עם בני נוער.  מתאים לבוגרי/ות תנועות נוער, בעלי/ות ניסיון בהדרכה או חיבור לעולמות החינוך והעשייה.  ✨ משרה מלא"
236f8893d548,מנהל.ת מחלקת גיוס חינוך,עיריית תל אביב יפו,תל אביב,https://telaviv-ext.hunterhrms.com/category?cid=-1,2026-05-14,Telegram: מציאת עבודה,משרה מלאה,ממשלתי,ניהולי,"*מנהל.ת מחלקת גיוס חינוך, עיריית תל אביב יפו*   מכרז 351/2026, משרה מלאה, דרגות 42-44 (ניהול מחלקה).  ניהול תהליכי הגיוס והקליטה במינהל החינוך של עיריית תל אביב יפו.  משרת גיוס ""הנדס-און"".   תיאור התפקיד:  1.     ניהול והובלת תהליך גיוס ואיוש משרות שטח במוסדות הפורמליים והבלתי פורמליים לאוכלוסיית הי"
00e1dcd5eb1a,מתאמ/ת טיפול למתמודדי נפש בתפקוד גבוה,עמותת איכות בשיקום,,https://t.me/biltiformali/33434,2026-05-14,Telegram: מציאת עבודה,משרה מלאה,עמותות,ביניים,"עמותת ""איכות בשיקום"" מחפשת מתאמ/ת טיפול למתמודדי נפש בתפקוד גבוה💙 התפקיד כולל עבודה תהליכית, משמעותית ועמוקה עם המתמודדים, ומשלב עבודה פרטנית ומערכתית.  ✨ מה מחכה לך אצלנו? ✔️ עבודה טיפולית-שיקומית עם משמעות אמיתית ✔️ עבודה עם אוכלוסיות מגוונות ומרתקות ✔️ גמישות בשעות העבודה ✔️ ליווי מקצועי וצוות תו"
ebf62c0ce048,פסיכולוגים חינוכיים,,,https://forms.gle/m57b2aqNLCTH58KG9,2026-05-13,Telegram: מציאת עבודה,,חינוך,,דרושים פסיכולוגים חינוכיים לפרטים והגשת מועמדות כנסו ללינק הבא https://forms.gle/m57b2aqNLCTH58KG9
4b96c5a234f0,מנהל.ת לבית הספר העל יסודי השש שנתי במעגן מיכאל,מועצה אזורית חוף הכרמל,מעגן מיכאל,tps://www.hof-hacarmel.co.il/bids/685/,2026-05-13,Telegram: מציאת עבודה,משרה מלאה,חינוך,ניהולי,"דרוש.ה מנהל.ת לבית הספר העל יסודי השש שנתי במעגן מיכאל מועצה אזורית חוף הכרמל מגייסת מנהל.ת לבית הספר העל יסודי השש שנתי במעגן מיכאל.  אם אתם.ן אנשי ונשות חינוך עם ניסיון ניהולי, ראייה מערכתית ותשוקה להובלת עשייה חינוכית משמעותית, נשמח להכיר 🙌  מה כולל התפקיד? * הובלה וניהול של בית ספר שש שנתי * פית"
9939e6360496,רכז/ת בכיר/ה קשרי תעשייה,,,https://campaign.adamtotal.co.il?d=ibmsuyNk0Yklr4gfBixRmg%3d%3d,2026-05-13,Telegram: מציאת עבודה,משרה מלאה,אחר,בכיר,"*רכז/ת בכיר/ה קשרי תעשייה - הזדמנות לרכוש ניסיון רב בתחומים מגוונים:* * תכנון ופעילויות אקדמיות כולל - סיורים, הרצאות, פעילויות וכנסים. * הפקה וניהול כנסים ואירועים. * תחזוקה שוטפת של מדיות - אתר ודף לינקדאין. * פיתוח והטמעת נהלים ותהליכי עבודה פנימיים.  משרה מלאה | 40 שעות שבועיות  לפרטים נוספים וה"
8236fa34d884,בוא.י לעבוד איתי,,,ttps://campaign.adamtotal.co.il?d=uE%2fV73HVd%2bsoXCmNXXsSGA%3d%3d,2026-05-13,Telegram: מציאת עבודה,,,,"בוא.י לעבוד איתי 💃 תנאים מעולים למתאימים.ות! קו""ח ניתן לשלוח ל chenzar@s-tov.org.il   ,או בקישור הבא:  https://campaign.adamtotal.co.il?d=uE%2fV73HVd%2bsoXCmNXXsSGA%3d%3d"
2474c3c51573,מנהל/ת יחידת נוער,מרכז שכונתי גוננים,ירושלים,://chat.whatsapp.com/IBbysjGWBoCFvpyOHYkxER,2026-05-13,Telegram: מציאת עבודה,משרה מלאה,עמותות,ניהולי,"למרכז שכונתי גוננים **דרוש/ה מנהל/ת יחידת נוער**  להובלת תחום הנוער בשכונות גוננים, קטמונים, פת ורסקו. תפקיד משמעותי עם השפעה ישירה על בני ובנות הנוער  **התפקיד כולל:** 🔹 בניית תכנית עבודה והובלתה 🔹 עבודה עם מתנדבים מדריכים 🔹 ניהול תקציב וגיוס משאבים 🔹 עבודה מול העירייה, בתי ספר, גופים ותנועות נוער "
cb7d61866d11,אחראי/ת גיוס משאבים לארגון חינוכי גדול,ארגון חינוכי גדול ומוביל,תל אביב,tps://tinyurl.com/3eckkm9a,2026-05-13,Telegram: מציאת עבודה,משרה מלאה,חינוך,ביניים,"*אחראי/ת גיוס משאבים לארגון חינוכי גדול | תל אביב | משרה מלאה*  ארגון חינוכי גדול ומוביל מגייס/ת אחראי/ת גיוס משאבים לתפקיד בעל השפעה של ממש — גיוס תרומות ושותפויות לפרויקטים חינוכיים ברחבי הארץ, עם דגש על הפריפריה.  💼 *עיקרי התפקיד:* • כתיבת בקשות תמיכה, הצעות פרויקטים ודוחות תקופתיים • ניהול תכתוב"
5582018f0b37,"מנהל/ת הדרכה, תוכן ולמידה לתחום הנגשת השכלה גבוהה",עמותת אלומה,לוד,https://shlomital.formtitan.com/origin/application/origin/?fld82=a27QA000000ieGH#/,2026-05-13,Telegram: מציאת עבודה,משרה מלאה,עמותות,ניהולי,"*מנהל/ת הדרכה, תוכן ולמידה לתחום הנגשת השכלה גבוהה באלומה*  התפקיד כולל הובלה, פיתוח והטמעה של מערך ההדרכה והלמידה המקצועי בתחום הנגשת ההשכלה הגבוהה בעמותת אלומה, יצירת סטנדרטים משותפים, תכלול ואיגום משאבים. התפקיד מתבצע בתיאום צמוד עם מנהלת הלמידה הארגונית ליישום מדיניות ארגונית ושיתוף ידע רוחבי. *"
2dc6224854d2,משרות מנהלים בקדמה התיישבות צעירים,קדמה התיישבות צעירים,,chat.whatsapp.com/Fd3aJSbxy4sLLaZWIBvrud?mode=gi_t,2026-05-12,Telegram: מציאת עבודה,משרה מלאה,עמותות,ניהולי,"אנחנו מחפשים אתכם!  משרות פתוחות בקדמה התיישבות צעירים.   רוצים לקחת חלק בעשייה משמעותית ולהוביל שינוי בשטח?   אנחנו מתרחבים ומחפשים אנשים מצוינים להצטרף לנבחרת שלנו!  להלן המשרות הפתוחות כרגע:  📍 ניהול כפר סטודנים כפר יובל   להגשת קורות חיים, שלחו קו""ח  ללב  : lev@kedma-hityashvut.org  📦 רכז/ת לוגי"
072eb3b238d1,"מנהל/מנהלת תכניות בתחום תכניות לרווחת הקשישים, במדינות ברית המועצות לשעבר",ארגון הג'וינט,ירושלים,https://www.mitam-hr.org/jobs/116,2026-05-12,Telegram: מציאת עבודה,משרה מלאה,עמותות,ניהולי,"מנהל/מנהלת תכניות בתחום תכניות לרווחת הקשישים, במדינות ברית המועצות לשעבר   ארגון הג'וינט מחפש איש/אשת מקצוע בעל/בעלת חזון חברתי, גישה מערכתית, יכולת הובלה ויוזמה, ורואה בקידום רווחת האוכלוסייה המבוגרת שליחות!   על התפקיד: ·        ניהול והובלה של תוכניות רווחה לקשישים בקהילות יהודיות במדינות חבר הע"
